,blue_alt,red_alt,angle_off,aspect_angle,Rmax
98,41664.5831234964,17182.078503419325,-41.56663997140936,-50.482335599055006,-24.5
99,15706.975407532042,12811.317741394862,-97.76814981794973,83.62831879311253,-16.5
100,19120.697039564464,29022.119384958427,95.81915810034855,24.97866913858809,-20.5
101,16258.52489068284,40829.51703941038,167.2842227616922,-46.2574131705681,-14.0
102,13531.342181316653,15468.093886564697,-148.36843789886117,-6.267296894473034,-24.5
103,28330.142732046763,35685.16921530732,-170.5673980167973,11.541036605970945,-22.5
104,9749.243991364247,6154.396915628398,-100.88512761607652,23.9008536356515,-23.5
105,8312.234547660973,25708.666881648136,-109.36889374875071,-81.55592168526083,-15.0
106,31729.11922784238,34912.12285672762,-55.098699014884346,-4.749196736140092,-21.0
107,40676.626306517435,19203.729355542433,106.55252859035272,17.46501279210254,-27.5
108,38225.06485541447,6925.348570354774,78.55965839195869,5.9619837385503445,-29.5
109,44316.570610433526,39471.40655563303,-159.46954483971916,-51.564252158468705,-21.0
110,9671.036985075698,41116.95062836069,-129.20766006519344,81.64833834206891,-8.0
111,12887.87375115716,11635.838110327353,89.11688309277082,45.92805069726816,-22.5
112,48444.15273014975,3462.788117988285,172.17418195420885,-46.700307210920705,-28.0
113,27979.02128314387,1428.9244128319287,99.30288201153047,33.80372072456562,-28.5
114,5410.347651780898,5350.2821811082495,107.04180633332163,65.13488457499076,-21.5
115,6919.11714105773,28822.266904160857,-74.6616404684581,52.45909006941025,-14.0
116,21918.77273101176,21542.87383606124,46.51765284208315,-24.140955536074713,-22.0
117,4765.870285989079,6761.908479698325,50.428969464746615,70.21050549005707,-19.0
118,31733.414128540768,8451.76992061464,64.45979708775539,-40.10720034178526,-25.5
119,45913.518346506906,18070.719416762975,-10.83741844608511,-71.20431729594422,-21.0
120,17231.95323636227,16208.091055759838,167.0553605511297,-25.0381259661106,-23.5
121,9696.566703915365,44678.40699328091,-11.406612972165846,-15.873810265160373,-10.0
122,46705.14278246542,18541.074042100718,149.6502148904977,-52.77376660819159,-24.0
123,31860.052236318712,4185.1854707298335,120.65489086053509,30.6634857962394,-29.0
124,9498.51818912397,47724.62789384108,157.98012215171133,55.764697432943194,-8.0
