Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
73,575,722,-23,0,-174,11201,10324,0.0,45.0
74,647,567,-48,0,81,10740,11158,0.0,45.0
75,501,745,55,0,24,9852,9220,0.0,45.0
76,597,631,-52,0,-84,10501,11263,0.0,45.0
77,721,463,-51,0,24,13595,12199,0.0,45.0
78,458,670,-17,0,-89,12215,10885,0.0,45.0
79,633,616,20,0,63,13202,12378,0.0,45.0
80,459,555,-44,0,-32,3606,3093,0.0,45.0
81,576,647,18,0,99,9881,10796,0.0,45.0
82,513,464,47,0,-152,11538,10742,0.0,45.0
83,513,647,-52,0,-173,11151,11404,0.0,45.0
84,543,665,55,0,-156,9342,8512,0.0,45.0
85,477,642,14,0,55,7763,7614,0.0,45.0
86,545,467,-9,0,141,7837,8315,0.0,45.0
87,636,486,-43,0,-45,4452,3649,0.0,45.0
88,496,685,-59,0,-102,4859,3656,0.0,45.0
89,718,607,-42,0,-127,9103,8072,0.0,45.0
90,597,621,43,0,-179,9737,9276,0.0,45.0
91,714,668,52,0,80,2695,4091,0.0,45.0
92,480,478,17,0,-150,10893,10233,0.0,45.0
93,724,457,-33,0,-105,5314,6621,0.0,45.0
94,664,527,49,0,-167,6433,7023,0.0,45.0
95,509,694,-22,0,57,7901,7096,0.0,45.0
96,522,464,-9,0,131,2827,3152,0.0,45.0
97,541,623,4,0,162,7993,7102,0.0,45.0
98,472,700,15,0,19,3031,3430,0.0,45.0
99,590,558,3,0,86,6094,7247,0.0,45.0
100,738,734,-12,0,-104,10816,10588,0.0,45.0
101,612,516,-53,0,54,1177,2412,0.0,45.0
102,621,720,6,0,-156,6531,7505,0.0,45.0
103,672,563,24,0,64,9579,10766,0.0,45.0
104,496,502,-52,0,7,13547,13890,0.0,45.0
105,669,609,-38,0,-116,12816,13873,0.0,45.0
106,654,728,29,0,96,3458,4722,0.0,45.0
107,573,529,47,0,15,3878,4465,0.0,45.0
108,700,647,40,0,-83,1416,2084,0.0,45.0
109,529,725,-44,0,-144,11065,11163,0.0,45.0
110,541,537,-14,0,16,10656,9983,0.0,45.0
111,576,620,-22,0,121,4548,3658,0.0,45.0
112,480,698,-7,0,2,5902,4398,0.0,45.0
113,616,600,4,0,177,9944,8616,0.0,45.0
114,658,595,-2,0,-93,2196,2384,0.0,45.0
115,669,497,-45,0,56,2951,1727,0.0,45.0
116,643,722,-50,0,-177,8827,10270,0.0,45.0
117,731,583,13,0,67,1696,1898,0.0,45.0
118,509,658,48,0,64,13660,13040,0.0,45.0
119,651,461,-4,0,54,10673,11476,0.0,45.0
120,702,664,-22,0,107,11066,10177,0.0,45.0
121,680,535,-31,0,61,8488,9308,0.0,45.0
122,689,656,-22,0,102,7646,8571,0.0,45.0
123,461,706,9,0,8,10640,12003,0.0,45.0
124,687,605,-37,0,-60,3958,3964,0.0,45.0
125,532,721,39,0,-167,9177,9966,0.0,45.0
126,466,479,-39,0,35,12782,12517,0.0,45.0
127,534,550,-57,0,-94,7954,7716,0.0,45.0
128,632,582,-58,0,-101,4495,3142,0.0,45.0
129,522,572,-46,0,83,11995,12409,0.0,45.0
130,601,629,-20,0,102,7290,8624,0.0,45.0
131,618,600,-6,0,-152,2063,2514,0.0,45.0
132,634,698,32,0,43,8020,7958,0.0,45.0
133,485,530,14,0,-83,9301,9094,0.0,45.0
134,597,551,-60,0,119,7343,8786,0.0,45.0
135,471,537,-40,0,67,6208,6296,0.0,45.0
136,511,649,-29,0,-77,9716,8509,0.0,45.0
137,701,477,10,0,-49,8307,7122,0.0,45.0
138,494,575,50,0,151,3162,2333,0.0,45.0
139,680,657,54,0,106,3429,4715,0.0,45.0
140,666,567,-5,0,31,3417,2840,0.0,45.0
141,634,696,47,0,-114,12671,11959,0.0,45.0
142,742,476,33,0,170,8871,10220,0.0,45.0
143,545,546,-50,0,21,10762,12037,0.0,45.0
144,726,451,17,0,77,4031,5335,0.0,45.0
145,740,617,-20,0,71,9845,10885,0.0,45.0
146,539,690,-29,0,12,6852,7225,0.0,45.0
147,710,504,-7,0,128,8771,10225,0.0,45.0
148,497,576,-53,0,-125,12171,10914,0.0,45.0
149,588,576,-25,0,178,5885,5533,0.0,45.0
